Date,Station,mean_reading,city,day,month,year
01/03/2019,Bath Roadside,61,Bath,1,03,2019
01/03/2019,Birmingham A4540 Roadside,45,Birmingham,1,03,2019
01/03/2019,Birmingham Acocks Green,27,Birmingham,1,03,2019
01/03/2019,Bristol St Paul's,29,Bristol,1,03,2019
01/03/2019,Bristol Temple Way,37,Bristol,1,03,2019
01/03/2019,Leeds Centre,41,Leeds,1,03,2019
01/03/2019,Leeds Headingley Kerbside,48,Leeds,1,03,2019
01/03/2019,Newcastle Centre,42,Newcastle,1,03,2019
01/03/2019,Newcastle Cradlewell Roadside,63,Newcastle,1,03,2019
01/03/2019,Reading London Road,28,Reading,1,03,2019
01/03/2019,Sheffield Barnsley Road,53,Sheffield,1,03,2019
01/03/2019,Sheffield Devonshire Green,39,Sheffield,1,03,2019
01/03/2019,Sheffield Tinsley,45,Sheffield,1,03,2019
02/03/2019,Bath Roadside,39,Bath,2,03,2019
02/03/2019,Birmingham A4540 Roadside,22,Birmingham,2,03,2019
02/03/2019,Birmingham Acocks Green,10,Birmingham,2,03,2019
02/03/2019,Bristol St Paul's,17,Bristol,2,03,2019
02/03/2019,Bristol Temple Way,31,Bristol,2,03,2019
02/03/2019,Leeds Centre,24,Leeds,2,03,2019
02/03/2019,Leeds Headingley Kerbside,22,Leeds,2,03,2019
02/03/2019,Newcastle Centre,28,Newcastle,2,03,2019
02/03/2019,Newcastle Cradlewell Roadside,40,Newcastle,2,03,2019
02/03/2019,Reading London Road,12,Reading,2,03,2019
02/03/2019,Sheffield Barnsley Road,25,Sheffield,2,03,2019
02/03/2019,Sheffield Devonshire Green,15,Sheffield,2,03,2019
02/03/2019,Sheffield Tinsley,18,Sheffield,2,03,2019
03/03/2019,Bath Roadside,28,Bath,3,03,2019
03/03/2019,Birmingham A4540 Roadside,19,Birmingham,3,03,2019
03/03/2019,Birmingham Acocks Green,7,Birmingham,3,03,2019
03/03/2019,Bristol St Paul's,10,Bristol,3,03,2019
03/03/2019,Bristol Temple Way,21,Bristol,3,03,2019
03/03/2019,Leeds Centre,16,Leeds,3,03,2019
03/03/2019,Leeds Headingley Kerbside,18,Leeds,3,03,2019
03/03/2019,Newcastle Centre,19,Newcastle,3,03,2019
03/03/2019,Newcastle Cradlewell Roadside,29,Newcastle,3,03,2019
03/03/2019,Reading London Road,5,Reading,3,03,2019
03/03/2019,Sheffield Barnsley Road,25,Sheffield,3,03,2019
03/03/2019,Sheffield Devonshire Green,16,Sheffield,3,03,2019
03/03/2019,Sheffield Tinsley,16,Sheffield,3,03,2019
04/03/2019,Bath Roadside,49,Bath,4,03,2019
04/03/2019,Birmingham A4540 Roadside,25,Birmingham,4,03,2019
04/03/2019,Birmingham Acocks Green,8,Birmingham,4,03,2019
04/03/2019,Bristol St Paul's,15,Bristol,4,03,2019
04/03/2019,Bristol Temple Way,26,Bristol,4,03,2019
04/03/2019,Leeds Centre,21,Leeds,4,03,2019
04/03/2019,Leeds Headingley Kerbside,19,Leeds,4,03,2019
04/03/2019,Newcastle Centre,26,Newcastle,4,03,2019
04/03/2019,Newcastle Cradlewell Roadside,19,Newcastle,4,03,2019
04/03/2019,Reading London Road,27,Reading,4,03,2019
04/03/2019,Sheffield Barnsley Road,26,Sheffield,4,03,2019
04/03/2019,Sheffield Devonshire Green,13,Sheffield,4,03,2019
04/03/2019,Sheffield Tinsley,26,Sheffield,4,03,2019
05/03/2019,Bath Roadside,55,Bath,5,03,2019
05/03/2019,Birmingham A4540 Roadside,34,Birmingham,5,03,2019
05/03/2019,Birmingham Acocks Green,10,Birmingham,5,03,2019
05/03/2019,Bristol St Paul's,24,Bristol,5,03,2019
05/03/2019,Bristol Temple Way,34,Bristol,5,03,2019
05/03/2019,Leeds Centre,41,Leeds,5,03,2019
05/03/2019,Leeds Headingley Kerbside,35,Leeds,5,03,2019
05/03/2019,Newcastle Centre,33,Newcastle,5,03,2019
05/03/2019,Newcastle Cradlewell Roadside,52,Newcastle,5,03,2019
05/03/2019,Reading London Road,13,Reading,5,03,2019
05/03/2019,Sheffield Barnsley Road,35,Sheffield,5,03,2019
05/03/2019,Sheffield Devonshire Green,23,Sheffield,5,03,2019
05/03/2019,Sheffield Tinsley,29,Sheffield,5,03,2019
06/03/2019,Bath Roadside,45,Bath,6,03,2019
06/03/2019,Birmingham A4540 Roadside,31,Birmingham,6,03,2019
06/03/2019,Birmingham Acocks Green,10,Birmingham,6,03,2019
06/03/2019,Bristol St Paul's,16,Bristol,6,03,2019
06/03/2019,Bristol Temple Way,29,Bristol,6,03,2019
06/03/2019,Leeds Centre,40,Leeds,6,03,2019
06/03/2019,Leeds Headingley Kerbside,37,Leeds,6,03,2019
06/03/2019,Newcastle Cradlewell Roadside,64,Newcastle,6,03,2019
06/03/2019,Reading London Road,8,Reading,6,03,2019
06/03/2019,Sheffield Barnsley Road,37,Sheffield,6,03,2019
06/03/2019,Sheffield Tinsley,27,Sheffield,6,03,2019
07/03/2019,Bath Roadside,45,Bath,7,03,2019
07/03/2019,Birmingham A4540 Roadside,24,Birmingham,7,03,2019
07/03/2019,Birmingham Acocks Green,10,Birmingham,7,03,2019
07/03/2019,Bristol St Paul's,14,Bristol,7,03,2019
07/03/2019,Bristol Temple Way,22,Bristol,7,03,2019
07/03/2019,Leeds Centre,25,Leeds,7,03,2019
07/03/2019,Leeds Headingley Kerbside,19,Leeds,7,03,2019
07/03/2019,Newcastle Cradlewell Roadside,40,Newcastle,7,03,2019
07/03/2019,Reading London Road,22,Reading,7,03,2019
07/03/2019,Sheffield Barnsley Road,26,Sheffield,7,03,2019
07/03/2019,Sheffield Devonshire Green,15,Sheffield,7,03,2019
07/03/2019,Sheffield Tinsley,24,Sheffield,7,03,2019
08/03/2019,Bath Roadside,62,Bath,8,03,2019
08/03/2019,Birmingham A4540 Roadside,39,Birmingham,8,03,2019
08/03/2019,Birmingham Acocks Green,16,Birmingham,8,03,2019
08/03/2019,Bristol St Paul's,28,Bristol,8,03,2019
08/03/2019,Bristol Temple Way,39,Bristol,8,03,2019
08/03/2019,Leeds Centre,36,Leeds,8,03,2019
08/03/2019,Leeds Headingley Kerbside,31,Leeds,8,03,2019
08/03/2019,Newcastle Centre,37,Newcastle,8,03,2019
08/03/2019,Newcastle Cradlewell Roadside,56,Newcastle,8,03,2019
08/03/2019,Reading London Road,20,Reading,8,03,2019
08/03/2019,Sheffield Barnsley Road,36,Sheffield,8,03,2019
08/03/2019,Sheffield Devonshire Green,24,Sheffield,8,03,2019
08/03/2019,Sheffield Tinsley,36,Sheffield,8,03,2019
09/03/2019,Bath Roadside,43,Bath,9,03,2019
09/03/2019,Birmingham A4540 Roadside,20,Birmingham,9,03,2019
09/03/2019,Birmingham Acocks Green,6,Birmingham,9,03,2019
09/03/2019,Bristol St Paul's,13,Bristol,9,03,2019
09/03/2019,Bristol Temple Way,25,Bristol,9,03,2019
09/03/2019,Leeds Centre,21,Leeds,9,03,2019
09/03/2019,Leeds Headingley Kerbside,18,Leeds,9,03,2019
09/03/2019,Newcastle Centre,25,Newcastle,9,03,2019
09/03/2019,Newcastle Cradlewell Roadside,25,Newcastle,9,03,2019
09/03/2019,Reading London Road,20,Reading,9,03,2019
09/03/2019,Sheffield Barnsley Road,25,Sheffield,9,03,2019
09/03/2019,Sheffield Devonshire Green,18,Sheffield,9,03,2019
09/03/2019,Sheffield Tinsley,21,Sheffield,9,03,2019
10/03/2019,Bath Roadside,23,Bath,10,03,2019
10/03/2019,Birmingham A4540 Roadside,16,Birmingham,10,03,2019
10/03/2019,Birmingham Acocks Green,5,Birmingham,10,03,2019
10/03/2019,Bristol St Paul's,7,Bristol,10,03,2019
10/03/2019,Bristol Temple Way,14,Bristol,10,03,2019
10/03/2019,Leeds Centre,24,Leeds,10,03,2019
10/03/2019,Leeds Headingley Kerbside,23,Leeds,10,03,2019
10/03/2019,Newcastle Centre,34,Newcastle,10,03,2019
10/03/2019,Newcastle Cradlewell Roadside,42,Newcastle,10,03,2019
10/03/2019,Reading London Road,17,Reading,10,03,2019
10/03/2019,Sheffield Barnsley Road,27,Sheffield,10,03,2019
