,Peebles,,Plymouth Centre,,Plymouth Tavistock Road,,Port Talbot Margam,,Portsmouth,,Portsmouth Anglesea Road,,Preston,,Reading London Road,,Reading New Town,,Rochester Stoke,,Salford Eccles,,Sandy Roadside,,Scunthorpe Town,,Shaw Crompton Way,,Sheffield Barnsley Road,,Sheffield Devonshire Green,,Sheffield Tinsley,,Sibton,,Southampton A33,,Southampton Centre,,Southend-on-Sea,,Southwark A2 Old Kent Road,,St Helens Linkway,,St Osyth,,Stanford-le-Hope Roadside,,Stockton-on-Tees A1305 Roadside,,Stockton-on-Tees Eaglescliffe,,Stoke-on-Trent A50 Roadside,,Stoke-on-Trent Centre,,Storrington Roadside,,Strathvaich,,Sunderland Silksworth,,Sunderland Wessington Way,,Swansea Roadside,,Swindon Walcot,,Telford Hollinswood,,Thurrock,,Tower Hamlets Roadside,,Walsall Woodlands,,Warrington,,West Bromwich Kenrick Park,,Wicken Fen,,Widnes Milton Road,,Wigan Centre,,Wirral Tranmere,,Worthing A27 Roadside,,Wrexham,,Yarner Wood,,York Bootham,,York Fishergate,
Date,Nitrogen dioxide,Status,Nitrogen dioxide,Status,Nitrogen dioxide,Status,Nitrogen dioxide,Status,Nitrogen dioxide,Status,Nitrogen dioxide,Status,Nitrogen dioxide,Status,Nitrogen dioxide,Status,Nitrogen dioxide,Status,Nitrogen dioxide,Status,Nitrogen dioxide,Status,Nitrogen dioxide,Status,Nitrogen dioxide,Status,Nitrogen dioxide,Status,Nitrogen dioxide,Status,Nitrogen dioxide,Status,Nitrogen dioxide,Status,Nitrogen dioxide,Status,Nitrogen dioxide,Status,Nitrogen dioxide,Status,Nitrogen dioxide,Status,Nitrogen dioxide,Status,Nitrogen dioxide,Status,Nitrogen dioxide,Status,Nitrogen dioxide,Status,Nitrogen dioxide,Status,Nitrogen dioxide,Status,Nitrogen dioxide,Status,Nitrogen dioxide,Status,Nitrogen dioxide,Status,Nitrogen dioxide,Status,Nitrogen dioxide,Status,Nitrogen dioxide,Status,Nitrogen dioxide,Status,Nitrogen dioxide,Status,Nitrogen dioxide,Status,Nitrogen dioxide,Status,Nitrogen dioxide,Status,Nitrogen dioxide,Status,Nitrogen dioxide,Status,Nitrogen dioxide,Status,Nitrogen dioxide,Status,Nitrogen dioxide,Status,Nitrogen dioxide,Status,Nitrogen dioxide,Status,Nitrogen dioxide,Status,Nitrogen dioxide,Status,Nitrogen dioxide,Status,Nitrogen dioxide,Status,Nitrogen dioxide,Status
01/03/2019,18,V ugm-3,17,V ugm-3,19,V ugm-3,19,V ugm-3,20,V ugm-3,44,V ugm-3,35,V ugm-3,28,V ugm-3,No data,V ugm-3,20,V ugm-3,31,V ugm-3,44,V ugm-3,22,V ugm-3,46,V ugm-3,53,V ugm-3,39,V ugm-3,45,V ugm-3,No data,,49,V ugm-3,33,V ugm-3,29,V ugm-3,49,V ugm-3,45,V ugm-3,15,V ugm-3,39,V ugm-3,27,V ugm-3,19,V ugm-3,71,V ugm-3,30,V ugm-3,24,V ugm-3,No data,,19,V ugm-3,36,V ugm-3,33,V ugm-3,19,V ugm-3,21,V ugm-3,22,V ugm-3,55,V ugm-3,19,V ugm-3,No data,V ugm-3,No data,,15,V ugm-3,51,V ugm-3,28,V ugm-3,23,V ugm-3,46,V ugm-3,No data,V ugm-3,4,V ugm-3,26,V ugm-3,37,V ugm-3
02/03/2019,5,V ugm-3,8,V ugm-3,13,V ugm-3,12,V ugm-3,9,V ugm-3,25,V ugm-3,15,V ugm-3,12,V ugm-3,No data,V ugm-3,7,V ugm-3,12,V ugm-3,19,V ugm-3,9,V ugm-3,21,V ugm-3,25,V ugm-3,15,V ugm-3,18,V ugm-3,No data,,25,V ugm-3,29,V ugm-3,13,V ugm-3,16,V ugm-3,29,V ugm-3,9,V ugm-3,13,V ugm-3,14,V ugm-3,9,V ugm-3,33,V ugm-3,18,V ugm-3,9,V ugm-3,No data,,10,V ugm-3,17,V ugm-3,14,V ugm-3,10,V ugm-3,8,V ugm-3,17,V ugm-3,28,V ugm-3,8,V ugm-3,No data,V ugm-3,No data,,9,V ugm-3,36,V ugm-3,15,V ugm-3,10,V ugm-3,25,V ugm-3,No data,V ugm-3,2,V ugm-3,12,V ugm-3,18,V ugm-3
03/03/2019,2,V ugm-3,7,V ugm-3,10,V ugm-3,14,V ugm-3,9,V ugm-3,19,V ugm-3,10,V ugm-3,5,V ugm-3,No data,V ugm-3,5,V ugm-3,14,V ugm-3,11,V ugm-3,5,V ugm-3,16,V ugm-3,25,V ugm-3,16,V ugm-3,16,V ugm-3,No data,,9,V ugm-3,16,V ugm-3,6,V ugm-3,10,V ugm-3,23,V ugm-3,4,V ugm-3,6,V ugm-3,12,V ugm-3,6,V ugm-3,31,V ugm-3,15,V ugm-3,5,V ugm-3,No data,,7,V ugm-3,12,V ugm-3,9,V ugm-3,7,V ugm-3,7,V ugm-3,15,V ugm-3,18,V ugm-3,7,V ugm-3,No data,V ugm-3,No data,,6,V ugm-3,25,V ugm-3,13,V ugm-3,8,V ugm-3,15,V ugm-3,No data,V ugm-3,2,V ugm-3,9,V ugm-3,13,V ugm-3
04/03/2019,3,V ugm-3,11,V ugm-3,25,V ugm-3,13,V ugm-3,8,V ugm-3,23,V ugm-3,12,V ugm-3,27,V ugm-3,No data,V ugm-3,8,V ugm-3,13,V ugm-3,24,V ugm-3,9,V ugm-3,27,V ugm-3,26,V ugm-3,13,V ugm-3,26,V ugm-3,No data,,37,V ugm-3,36,V ugm-3,14,V ugm-3,19,V ugm-3,28,V ugm-3,8,V ugm-3,20,V ugm-3,9,V ugm-3,2,V ugm-3,42,V ugm-3,15,V ugm-3,14,V ugm-3,No data,,7,V ugm-3,14,V ugm-3,No data,V ugm-3,10,V ugm-3,7,V ugm-3,22,V ugm-3,35,V ugm-3,10,V ugm-3,No data,V ugm-3,No data,,7,V ugm-3,21,V ugm-3,10,V ugm-3,10,V ugm-3,35,V ugm-3,No data,V ugm-3,2,V ugm-3,8,V ugm-3,15,V ugm-3
05/03/2019,10,V ugm-3,17,V ugm-3,24,V ugm-3,18,V ugm-3,13,V ugm-3,30,V ugm-3,22,V ugm-3,13,V ugm-3,No data,V ugm-3,9,V ugm-3,18,V ugm-3,26,V ugm-3,12,V ugm-3,31,V ugm-3,35,V ugm-3,23,V ugm-3,29,V ugm-3,No data,,47,V ugm-3,31,V ugm-3,13,V ugm-3,20,V ugm-3,33,V ugm-3,10,V ugm-3,17,V ugm-3,17,V ugm-3,No data,V ugm-3,58,V ugm-3,22,V ugm-3,17,V ugm-3,No data,,8,V ugm-3,18,V ugm-3,No data,V ugm-3,7,V ugm-3,10,V ugm-3,16,V ugm-3,25,V ugm-3,13,V ugm-3,No data,V ugm-3,No data,,8,V ugm-3,35,V ugm-3,25,V ugm-3,13,V ugm-3,36,V ugm-3,No data,V ugm-3,3,V ugm-3,18,V ugm-3,26,V ugm-3
06/03/2019,9,V ugm-3,13,V ugm-3,16,V ugm-3,16,V ugm-3,11,V ugm-3,24,V ugm-3,14,V ugm-3,8,V ugm-3,No data,V ugm-3,7,V ugm-3,16,V ugm-3,19,V ugm-3,13,V ugm-3,20,V ugm-3,37,V ugm-3,No data,V ugm-3,27,V ugm-3,No data,,32,V ugm-3,23,V ugm-3,9,V ugm-3,16,V ugm-3,38,V ugm-3,8,V ugm-3,9,V ugm-3,17,V ugm-3,No data,V ugm-3,54,V ugm-3,20,V ugm-3,13,V ugm-3,No data,,12,V ugm-3,25,V ugm-3,No data,V ugm-3,7,V ugm-3,11,V ugm-3,11,V ugm-3,17,V ugm-3,11,V ugm-3,No data,V ugm-3,No data,,9,V ugm-3,32,V ugm-3,16,V ugm-3,13,V ugm-3,21,V ugm-3,No data,V ugm-3,3,V ugm-3,16,V ugm-3,25,V ugm-3
07/03/2019,5,V ugm-3,10,V ugm-3,19,V ugm-3,11,V ugm-3,6,V ugm-3,18,V ugm-3,13,V ugm-3,22,V ugm-3,No data,V ugm-3,5,V ugm-3,22,V ugm-3,23,V ugm-3,9,V ugm-3,29,V ugm-3,26,V ugm-3,15,V ugm-3,24,V ugm-3,No data,,No data,V ugm-3,No data,V ugm-3,12,V ugm-3,16,V ugm-3,17,V ugm-3,7,V ugm-3,15,V ugm-3,10,V ugm-3,8,V ugm-3,39,V ugm-3,17,V ugm-3,10,V ugm-3,No data,,11,V ugm-3,17,V ugm-3,12,V ugm-3,9,V ugm-3,7,V ugm-3,16,V ugm-3,29,V ugm-3,8,V ugm-3,No data,V ugm-3,No data,,6,V ugm-3,15,V ugm-3,7,V ugm-3,7,V ugm-3,25,V ugm-3,No data,V ugm-3,1,V ugm-3,10,V ugm-3,19,V ugm-3
08/03/2019,10,V ugm-3,25,V ugm-3,28,V ugm-3,23,V ugm-3,15,V ugm-3,32,V ugm-3,32,V ugm-3,20,V ugm-3,No data,V ugm-3,8,V ugm-3,29,V ugm-3,30,V ugm-3,20,V ugm-3,42,V ugm-3,36,V ugm-3,24,V ugm-3,36,V ugm-3,No data,,No data,V ugm-3,No data,V ugm-3,16,V ugm-3,25,V ugm-3,44,V ugm-3,9,V ugm-3,26,V ugm-3,15,V ugm-3,8,V ugm-3,65,V ugm-3,29,V ugm-3,17,V ugm-3,No data,,11,V ugm-3,24,V ugm-3,26,V ugm-3,10,V ugm-3,13,V ugm-3,21,V ugm-3,36,V ugm-3,18,V ugm-3,No data,V ugm-3,No data,,8,V ugm-3,44,V ugm-3,27,V ugm-3,17,V ugm-3,33,V ugm-3,No data,V ugm-3,3,V ugm-3,20,V ugm-3,29,V ugm-3
09/03/2019,2,V ugm-3,15,V ugm-3,23,V ugm-3,13,V ugm-3,10,V ugm-3,31,V ugm-3,13,V ugm-3,20,V ugm-3,No data,V ugm-3,4,V ugm-3,15,V ugm-3,17,V ugm-3,8,V ugm-3,19,V ugm-3,25,V ugm-3,18,V ugm-3,21,V ugm-3,No data,,27,V ugm-3,26,V ugm-3,12,V ugm-3,17,V ugm-3,23,V ugm-3,7,V ugm-3,15,V ugm-3,7,V ugm-3,4,V ugm-3,30,V ugm-3,15,V ugm-3,12,V ugm-3,No data,,7,V ugm-3,11,V ugm-3,11,V ugm-3,6,V ugm-3,6,V ugm-3,17,V ugm-3,30,V ugm-3,8,V ugm-3,No data,V ugm-3,No data,,4,V ugm-3,17,V ugm-3,6,V ugm-3,8,V ugm-3,29,V ugm-3,No data,V ugm-3,2,V ugm-3,8,V ugm-3,15,V ugm-3
